province,region,commune_id,commune_type,area_commune_km2,elevation_m,distance_to_urban_km,ndvi,road_density_km_per_km2,land_use_type,annual_rainfall_mm,nearest_market_km,census_population,census_density,n_microcensus_points,microcensus_total_persons,microcensus_total_households,microcensus_mean_density,has_microcensus_data,missing_mechanism,n_grid_cells_100m
Cao Bằng,mien_nui_phia_bac,COM_0148,xa,20.3795,1389.24,11.75,0.4607,0.319,agricultural,1568.14,43.14,1361,66.79,37,1321,288,64.3,1,observed,2037
TP. Hồ Chí Minh,dong_nam_bo,COM_0149,xa,46.3519,24.79,25.92,0.4226,0.2989,mixed,1418.67,34.49,188393,4064.42,17,191036,39950,4484.35,1,observed,4635
Tuyên Quang,mien_nui_phia_bac,COM_0150,thi_tran,20.511,676.0,26.75,0.8301,4.4624,forest,1600.23,8.54,1119,54.59,10,1030,248,53.84,0,MNAR_high_density,2051
Quảng Trị,duyen_hai_mien_trung,COM_0151,xa,51.8407,517.91,91.55,0.5148,1.8501,agricultural,2847.74,48.27,3095,59.72,5,3198,625,66.46,1,observed,5184
Ninh Bình,dong_bang_song_hong,COM_0152,xa,76.9188,30.5,88.2,0.8896,3.5057,forest,1616.11,41.16,22407,291.31,44,22627,5291,312.54,1,observed,7691
An Giang,dong_bang_song_cuu_long,COM_0153,thi_tran,30.5685,5.1,6.16,0.8985,4.6995,forest,2189.57,3.31,8719,285.25,46,8547,1885,253.8,1,observed,3056
Sơn La,mien_nui_phia_bac,COM_0154,xa,35.859,608.13,8.5,0.2261,3.8141,agricultural,1791.17,19.83,2991,83.42,18,3130,702,92.0,1,observed,3585
Vĩnh Long,dong_bang_song_cuu_long,COM_0155,xa,35.2397,8.87,91.27,0.8678,0.7649,forest,1947.45,31.57,9505,269.73,10,9807,1919,264.87,1,observed,3523
Thanh Hóa,duyen_hai_mien_trung,COM_0156,xa,74.0288,784.31,89.06,0.1408,3.7226,agricultural,2151.62,20.32,13960,188.58,8,12640,2885,153.83,1,observed,7402
Thái Nguyên,mien_nui_phia_bac,COM_0157,xa,63.181,224.45,74.48,0.8661,1.2455,forest,1991.7,19.54,6750,106.84,48,6861,1667,110.95,1,observed,6318
Quảng Ngãi,duyen_hai_mien_trung,COM_0158,thi_tran,32.9774,166.2,15.69,0.2424,3.892,agricultural,2303.85,2.63,9377,284.36,25,8905,1763,255.26,1,observed,3297
Hà Nội,dong_bang_song_hong,COM_0159,thi_tran,23.489,44.62,22.99,0.8934,2.8914,forest,1596.0,6.4,69044,2939.44,23,70324,14236,2999.26,1,observed,2348
Đồng Nai,dong_nam_bo,COM_0160,xa,60.2763,76.35,85.37,0.1444,3.5785,agricultural,1829.78,28.56,18425,305.69,35,18979,3478,312.58,0,MNAR_high_density,6027
Nghệ An,duyen_hai_mien_trung,COM_0161,xa,50.6923,205.56,29.52,0.3868,0.0867,agricultural,1402.21,28.69,18669,368.29,42,15868,4384,325.45,1,observed,5069
Đắk Lắk,tay_nguyen,COM_0162,xa,38.187,913.6,26.67,0.8939,0.6956,forest,2094.96,24.03,1890,49.5,6,1806,455,51.63,1,observed,3818
Quảng Trị,duyen_hai_mien_trung,COM_0163,xa,74.3778,287.42,21.2,0.3615,1.2052,forest,2025.67,7.96,5556,74.71,16,4904,1004,61.18,0,MNAR_high_density,7437
Quảng Trị,duyen_hai_mien_trung,COM_0164,xa,32.0212,21.23,91.06,0.8011,0.78,forest,2265.34,10.24,3253,101.59,30,3339,949,112.28,1,observed,3202
TP. Hồ Chí Minh,dong_nam_bo,COM_0165,phuong,4.1797,10.48,4.68,0.2975,3.1013,residential,1995.1,3.46,28312,6773.84,7,29285,7459,6645.25,1,observed,417
Huế,duyen_hai_mien_trung,COM_0166,phuong,8.4056,169.6,6.7,0.3318,8.9896,mixed,2932.29,1.85,16427,1954.34,36,14154,3863,1533.65,0,MNAR_high_density,840
Thái Nguyên,mien_nui_phia_bac,COM_0167,xa,44.8162,648.75,44.55,0.8499,1.1974,forest,1647.34,38.18,4647,103.71,6,4911,1025,116.77,1,observed,4481
Đà Nẵng,duyen_hai_mien_trung,COM_0168,xa,39.5081,392.22,67.21,0.6564,1.1787,forest,2470.05,9.9,15111,382.48,27,13798,2960,345.14,1,observed,3950
Tuyên Quang,mien_nui_phia_bac,COM_0169,xa,58.6763,300.45,18.51,0.8201,3.5438,forest,2166.28,21.96,3857,65.74,32,4432,1244,77.0,1,observed,5867
Tuyên Quang,mien_nui_phia_bac,COM_0170,xa,60.09,1191.12,60.43,0.8931,0.3697,forest,1683.6,5.54,2291,38.14,29,1955,410,35.78,0,MNAR_high_density,6009
Phú Thọ,mien_nui_phia_bac,COM_0171,xa,45.6868,284.05,99.11,0.6654,1.4688,forest,1622.9,22.11,8311,181.92,32,8711,2235,199.36,1,observed,4568
Thanh Hóa,duyen_hai_mien_trung,COM_0172,xa,45.7181,778.66,68.44,0.5857,0.9866,residential,2351.93,29.13,8497,185.87,32,9219,2218,218.62,1,observed,4571
Hải Phòng,dong_bang_song_hong,COM_0173,xa,75.976,6.12,55.21,0.7663,1.2476,forest,1663.89,49.3,31527,414.96,49,29832,6492,397.42,1,observed,7597
Cà Mau,dong_bang_song_cuu_long,COM_0174,xa,78.1295,8.92,13.26,0.8844,0.6404,forest,2224.67,37.7,12453,159.4,32,11350,2980,132.46,1,observed,7812
Thanh Hóa,duyen_hai_mien_trung,COM_0175,xa,31.5063,511.87,12.63,0.5677,0.8902,forest,2328.04,6.37,7419,235.49,14,7801,1853,264.04,1,observed,3150
Phú Thọ,mien_nui_phia_bac,COM_0176,xa,37.3944,67.27,85.37,0.1259,3.0124,agricultural,1759.21,13.14,8519,227.84,28,7740,1770,204.69,0,MAR,3739
Lạng Sơn,mien_nui_phia_bac,COM_0177,thi_tran,16.0466,750.96,3.65,0.6932,4.2803,forest,1752.22,2.48,1073,66.92,6,934,264,52.68,1,observed,1604
Lạng Sơn,mien_nui_phia_bac,COM_0178,xa,29.8058,571.28,9.97,0.694,0.6451,forest,1354.21,38.99,4030,135.22,5,3794,982,130.18,0,MNAR_high_density,2980
Lâm Đồng,tay_nguyen,COM_0179,xa,40.1874,1232.77,95.36,0.4162,0.9131,agricultural,2676.22,19.09,4795,119.33,19,4651,850,120.86,0,MNAR_high_density,4018
Huế,duyen_hai_mien_trung,COM_0180,xa,71.4505,57.93,37.02,0.2173,1.1824,agricultural,3286.86,17.93,97424,1363.52,23,91613,23379,1404.88,1,observed,7145
Thanh Hóa,duyen_hai_mien_trung,COM_0181,xa,43.3833,402.51,54.64,0.3887,1.8201,forest,1916.51,2.25,11554,266.34,25,10792,2107,224.84,0,MAR,4338
Huế,duyen_hai_mien_trung,COM_0182,phuong,4.2132,277.98,3.95,0.1128,9.9042,residential,2893.88,2.64,5613,1332.37,41,5279,1179,1128.58,1,observed,421
Phú Thọ,mien_nui_phia_bac,COM_0183,xa,60.0377,460.7,49.84,0.679,2.0662,forest,1827.72,12.02,11902,198.25,26,12101,2322,191.46,1,observed,6003
Thanh Hóa,duyen_hai_mien_trung,COM_0184,xa,79.5698,726.9,51.12,0.6783,2.1198,forest,2260.93,41.52,11166,140.34,28,10825,2052,135.02,1,observed,7956
TP. Hồ Chí Minh,dong_nam_bo,COM_0185,xa,60.2861,38.65,11.38,0.6022,3.6996,mixed,2174.66,32.65,527711,8753.46,26,545460,152158,8303.89,1,observed,6028
Hưng Yên,dong_bang_song_hong,COM_0186,xa,49.8799,11.61,40.79,0.7614,0.5974,forest,1414.2,34.8,41894,839.91,23,36478,9497,668.3,1,observed,4987
Phú Thọ,mien_nui_phia_bac,COM_0187,xa,23.0208,57.07,22.38,0.7487,2.1177,forest,1775.51,18.53,3869,168.07,20,3327,716,132.48,0,MNAR_high_density,2302
Phú Thọ,mien_nui_phia_bac,COM_0188,xa,22.2324,485.43,20.87,0.1729,3.7534,mixed,1769.75,19.55,12252,551.09,8,11726,2201,571.71,1,observed,2223
Vĩnh Long,dong_bang_song_cuu_long,COM_0189,thi_tran,22.2191,0.68,27.63,0.6942,3.5895,forest,2209.62,6.06,7867,354.1,27,6798,1911,283.81,1,observed,2221
Đắk Lắk,tay_nguyen,COM_0190,xa,22.2829,485.08,79.62,0.554,2.2834,mixed,1668.77,8.86,2043,91.71,33,2154,566,90.32,1,observed,2228
Cần Thơ,dong_bang_song_cuu_long,COM_0191,xa,24.5515,6.58,30.94,0.2005,0.6377,mixed,2210.19,3.47,38809,1580.74,42,41446,8541,1675.66,1,observed,2455
TP. Hồ Chí Minh,dong_nam_bo,COM_0192,xa,33.1079,39.78,24.16,0.2577,1.8107,mixed,1868.36,32.12,32678,987.04,24,35811,9011,1044.62,1,observed,3310
Quảng Trị,duyen_hai_mien_trung,COM_0193,phuong,4.9814,212.22,5.13,0.3155,6.4851,agricultural,2543.73,1.51,602,120.9,34,520,134,100.61,1,observed,498
Bắc Ninh,dong_bang_song_hong,COM_0194,xa,52.9387,28.34,46.73,0.3148,0.5962,forest,1787.05,2.39,27074,511.44,48,23907,4895,464.96,0,MAR,5293
Quảng Ninh,dong_bang_song_hong,COM_0195,xa,60.1066,168.2,89.09,0.638,2.5888,residential,1874.47,48.29,15624,259.95,12,13570,2637,212.97,1,observed,6010
Điện Biên,mien_nui_phia_bac,COM_0196,xa,55.8648,487.27,5.49,0.1462,0.5554,agricultural,2416.26,26.41,5876,105.19,29,6517,1307,122.33,1,observed,5586
Lào Cai,mien_nui_phia_bac,COM_0197,xa,41.7011,1906.29,54.01,0.823,0.2557,forest,2493.67,37.97,2678,64.24,44,2745,632,59.44,0,MNAR_high_density,4170
Quảng Ninh,dong_bang_song_hong,COM_0198,phuong,5.9466,266.64,5.67,0.45,3.802,residential,2129.67,2.45,5721,962.14,26,5812,1387,981.12,1,observed,594
Hà Tĩnh,duyen_hai_mien_trung,COM_0199,thi_tran,29.604,356.72,28.66,0.8252,3.8724,forest,1819.16,9.87,3268,110.4,30,3417,918,115.64,1,observed,2960
Hà Nội,dong_bang_song_hong,COM_0200,phuong,12.2264,16.54,8.85,0.3984,6.5206,residential,1296.35,3.9,70906,5799.42,8,78471,20249,6539.17,1,observed,1222
Hà Nội,dong_bang_song_hong,COM_0201,xa,62.1201,32.4,66.98,0.353,3.1604,agricultural,1458.85,31.67,94564,1522.28,19,105525,19753,1699.96,1,observed,6212
Nghệ An,duyen_hai_mien_trung,COM_0202,xa,79.8526,487.59,52.06,0.7187,0.1929,forest,1741.62,5.89,7160,89.67,12,8201,1642,104.92,1,observed,7985
Đà Nẵng,duyen_hai_mien_trung,COM_0203,xa,65.0879,95.38,38.16,0.4138,3.0046,forest,2833.37,39.64,35127,539.7,41,39205,8191,650.0,1,observed,6508
Nghệ An,duyen_hai_mien_trung,COM_0204,thi_tran,14.383,20.54,12.17,0.6117,2.8469,residential,1940.02,3.23,2501,173.95,37,2543,637,187.79,0,MNAR_high_density,1438
TP. Hồ Chí Minh,dong_nam_bo,COM_0205,xa,20.3445,37.54,59.44,0.1753,3.7348,forest,1516.24,48.24,18259,897.52,47,20821,4483,974.13,1,observed,2034
Nghệ An,duyen_hai_mien_trung,COM_0206,xa,62.443,739.59,73.82,0.6904,0.3424,forest,1450.62,18.69,7325,117.31,37,7943,1986,135.37,0,MAR,6244
Ninh Bình,dong_bang_song_hong,COM_0207,xa,31.0285,13.26,9.27,0.7986,2.7893,forest,1527.96,2.39,12112,390.36,27,11874,2220,366.44,1,observed,3102
Đồng Tháp,dong_bang_song_cuu_long,COM_0208,thi_tran,31.228,3.26,10.36,0.8948,2.2362,forest,2157.49,8.04,8010,256.51,50,8538,1576,246.22,1,observed,3122
Thanh Hóa,duyen_hai_mien_trung,COM_0209,xa,66.419,670.54,94.49,0.1507,3.207,forest,1707.03,46.65,12393,186.59,25,12492,3270,203.66,1,observed,6641
TP. Hồ Chí Minh,dong_nam_bo,COM_0210,xa,70.246,18.29,91.81,0.6187,3.2225,agricultural,1756.9,45.57,87161,1240.8,32,96355,19353,1494.33,1,observed,7024
Hà Nội,dong_bang_song_hong,COM_0211,xa,28.2997,38.72,15.99,0.4121,3.9945,residential,1292.38,21.72,159359,5631.14,42,138784,36754,5189.24,1,observed,2829
Hưng Yên,dong_bang_song_hong,COM_0212,xa,31.3695,2.48,57.75,0.5772,3.1795,forest,1646.27,40.48,19483,621.09,32,18488,3446,610.8,1,observed,3136
Đồng Tháp,dong_bang_song_cuu_long,COM_0213,xa,21.9191,5.13,32.39,0.7593,2.7264,forest,2230.09,46.65,6261,285.68,35,5973,1254,263.86,1,observed,2191
TP. Hồ Chí Minh,dong_nam_bo,COM_0214,phuong,6.0803,46.82,6.18,0.45,9.3257,agricultural,1982.0,4.42,36445,5993.99,41,31513,7985,5487.52,1,observed,608
Quảng Trị,duyen_hai_mien_trung,COM_0215,xa,24.7134,300.33,66.28,0.7574,1.8793,forest,2236.86,25.04,2253,91.2,39,2442,613,92.88,1,observed,2471
Lào Cai,mien_nui_phia_bac,COM_0216,xa,32.1752,2901.26,80.95,0.2066,1.1226,agricultural,1818.48,26.89,1297,40.33,24,1202,227,38.53,1,observed,3217
Huế,duyen_hai_mien_trung,COM_0217,xa,62.1541,171.18,87.75,0.6438,3.362,forest,2648.63,48.92,19003,305.75,18,19654,4536,327.34,1,observed,6215
Cao Bằng,mien_nui_phia_bac,COM_0218,xa,66.9808,1293.75,50.25,0.507,1.0798,agricultural,1912.69,2.02,3523,52.6,40,3152,813,47.35,1,observed,6698
Đồng Tháp,dong_bang_song_cuu_long,COM_0219,thi_tran,17.5272,11.42,9.71,0.7015,2.7882,forest,2015.96,19.83,3707,211.52,47,3236,823,191.8,0,MAR,1752
Quảng Ngãi,duyen_hai_mien_trung,COM_0220,phuong,7.3154,617.83,2.37,0.45,2.2927,agricultural,2984.01,2.67,3082,421.4,6,2730,499,337.55,1,observed,731
Thái Nguyên,mien_nui_phia_bac,COM_0221,xa,24.3777,151.23,47.86,0.2961,3.8526,mixed,1642.85,22.99,4264,174.94,12,3781,1020,156.99,0,MNAR_high_density,2437
Gia Lai,tay_nguyen,COM_0222,xa,77.4128,864.59,66.59,0.4141,2.9644,mixed,2335.38,8.7,5059,65.36,24,4776,919,63.96,0,MNAR_high_density,7741
An Giang,dong_bang_song_cuu_long,COM_0223,xa,49.7289,4.68,94.67,0.6607,3.8652,forest,2107.74,41.04,14395,289.47,47,14884,4077,304.25,0,MAR,4972
Hà Nội,dong_bang_song_hong,COM_0224,xa,65.5053,49.17,44.83,0.5117,0.0993,forest,1512.14,20.99,65172,994.92,16,68741,18095,1146.27,1,observed,6550
Tây Ninh,dong_nam_bo,COM_0225,thi_tran,20.5996,130.12,9.67,0.3205,4.5444,mixed,1874.04,11.81,6554,318.18,12,6494,1618,337.56,1,observed,2059
Hà Nội,dong_bang_song_hong,COM_0226,xa,31.3683,6.5,50.19,0.2815,2.6958,agricultural,1699.61,35.31,39048,1244.83,43,36568,7516,1081.77,1,observed,3136
Nghệ An,duyen_hai_mien_trung,COM_0227,thi_tran,11.5414,601.17,19.47,0.1377,2.203,residential,1925.34,16.65,3224,279.39,34,2792,795,258.17,0,MAR,1154
Lào Cai,mien_nui_phia_bac,COM_0228,xa,69.6436,1323.14,68.37,0.393,0.0737,agricultural,2940.04,24.68,2472,35.5,26,2525,593,36.84,1,observed,6964
Tây Ninh,dong_nam_bo,COM_0229,xa,33.7892,112.61,13.36,0.5984,1.7315,residential,2244.07,33.98,16560,490.11,25,18813,3491,511.75,1,observed,3378
Nghệ An,duyen_hai_mien_trung,COM_0230,xa,37.5528,520.18,29.56,0.4893,0.6272,agricultural,1596.23,15.39,7975,212.37,39,7621,2141,216.87,1,observed,3755
Lào Cai,mien_nui_phia_bac,COM_0231,xa,36.8608,1254.6,26.23,0.7282,1.4401,forest,2391.0,3.06,1865,50.6,49,2125,454,57.85,1,observed,3686
Cà Mau,dong_bang_song_cuu_long,COM_0232,xa,75.5259,4.03,47.64,0.8861,0.6114,forest,2685.17,28.8,12655,167.56,17,10819,2817,157.42,1,observed,7552
Thanh Hóa,duyen_hai_mien_trung,COM_0233,xa,30.0636,123.75,11.95,0.413,0.2566,agricultural,1638.39,36.8,19570,650.98,35,21136,5285,739.53,1,observed,3006
Nghệ An,duyen_hai_mien_trung,COM_0234,xa,29.1882,500.6,10.69,0.8407,0.2792,forest,1738.82,1.03,3300,113.08,12,3455,863,111.32,1,observed,2918
Hà Nội,dong_bang_song_hong,COM_0235,xa,25.0469,12.18,85.14,0.6101,2.6141,forest,1657.74,3.85,22466,896.99,46,24787,5551,1042.79,1,observed,2504
Hà Nội,dong_bang_song_hong,COM_0236,thi_tran,20.9476,47.92,29.87,0.7177,1.8993,forest,1612.6,14.26,51300,2448.99,5,51686,13503,2302.53,1,observed,2094
Cao Bằng,mien_nui_phia_bac,COM_0237,xa,50.61,343.23,52.22,0.3108,1.4036,agricultural,1698.62,5.57,2404,47.52,30,2482,643,52.79,0,MNAR_high_density,5061
Cần Thơ,dong_bang_song_cuu_long,COM_0238,thi_tran,12.2473,0.37,18.06,0.2244,4.1392,mixed,1975.44,3.71,10185,831.64,12,8988,1643,733.83,1,observed,1224
Bắc Ninh,dong_bang_song_hong,COM_0239,phuong,11.9243,28.55,1.83,0.45,6.7581,mixed,1654.96,3.55,18547,1555.44,11,16350,3385,1243.25,1,observed,1192
Lào Cai,mien_nui_phia_bac,COM_0240,xa,73.5224,1896.69,15.03,0.5275,1.2849,forest,2149.32,7.07,3948,53.71,12,4331,1172,53.76,1,observed,7352
Hà Nội,dong_bang_song_hong,COM_0241,phuong,12.23,33.24,7.2,0.45,5.6713,residential,1283.88,0.66,89757,7339.09,22,96892,20315,8007.38,1,observed,1223
Bắc Ninh,dong_bang_song_hong,COM_0242,xa,53.14,12.29,57.5,0.4459,3.3155,mixed,1766.06,28.65,27329,514.3,46,28968,5794,564.36,1,observed,5314
Thanh Hóa,duyen_hai_mien_trung,COM_0243,xa,55.1841,770.07,95.14,0.3506,3.4606,forest,2275.8,44.92,10048,182.09,39,11192,2131,211.79,1,observed,5518
Lâm Đồng,tay_nguyen,COM_0244,xa,35.1597,1703.92,13.42,0.52,0.3637,forest,2547.67,42.56,2111,60.05,14,1806,340,52.55,1,observed,3515
Thái Nguyên,mien_nui_phia_bac,COM_0245,xa,46.5369,196.34,5.42,0.2544,0.9818,forest,1949.26,20.89,4137,88.9,38,3650,834,79.45,0,MNAR_high_density,4653
Hải Phòng,dong_bang_song_hong,COM_0246,xa,33.8407,27.17,52.52,0.7049,3.4064,forest,1999.3,11.97,13812,408.17,48,14153,2579,459.23,1,observed,3384
Sơn La,mien_nui_phia_bac,COM_0247,xa,25.4882,671.1,79.44,0.8311,3.7055,forest,1638.57,42.18,1698,66.65,35,1483,273,57.32,0,MNAR_high_density,2548
Hà Nội,dong_bang_song_hong,COM_0248,xa,23.1546,47.28,42.29,0.8391,2.337,forest,1202.77,2.89,46117,1991.71,30,49485,9508,2135.63,1,observed,2315
Hà Nội,dong_bang_song_hong,COM_0249,xa,41.6959,19.58,13.53,0.1619,3.1305,agricultural,1758.41,31.0,46961,1126.29,18,42998,9488,1121.19,1,observed,4169
Thái Nguyên,mien_nui_phia_bac,COM_0250,xa,33.314,576.3,41.81,0.3908,0.6415,agricultural,1761.6,17.67,10392,311.95,9,10061,1829,285.4,0,MAR,3331
Hà Nội,dong_bang_song_hong,COM_0251,thi_tran,38.0762,41.87,5.29,0.1479,4.2562,agricultural,1520.94,18.36,178939,4699.51,50,204102,49523,5027.33,1,observed,3807
Cà Mau,dong_bang_song_cuu_long,COM_0252,xa,31.4865,7.98,49.7,0.6107,1.2251,residential,2298.97,48.68,11104,352.68,14,11988,2681,393.32,1,observed,3148
Khánh Hòa,tay_nguyen,COM_0253,phuong,12.4478,787.39,3.32,0.3605,4.2318,residential,1829.96,0.4,10571,849.24,46,10664,1943,917.12,1,observed,1244
Tây Ninh,dong_nam_bo,COM_0254,xa,29.9283,77.59,96.14,0.4394,1.7301,agricultural,1996.07,8.93,6231,208.2,9,6045,1721,194.22,1,observed,2992
Lai Châu,mien_nui_phia_bac,COM_0255,thi_tran,25.0541,965.29,19.76,0.2521,1.0558,mixed,2789.89,18.76,1253,50.03,22,1070,204,43.73,1,observed,2505
Tuyên Quang,mien_nui_phia_bac,COM_0256,xa,30.5626,450.57,18.83,0.5562,1.8025,agricultural,1800.6,34.0,1780,58.27,32,1618,299,56.23,0,MNAR_high_density,3056
Thanh Hóa,duyen_hai_mien_trung,COM_0257,xa,31.3227,721.18,79.47,0.3756,3.7932,agricultural,1906.82,40.86,5013,160.05,16,5014,1057,157.05,1,observed,3132
Đồng Tháp,dong_bang_song_cuu_long,COM_0258,phuong,13.172,9.02,9.49,0.2869,4.5794,mixed,2448.06,4.96,5637,427.98,28,6207,1217,456.7,1,observed,1317
Đồng Tháp,dong_bang_song_cuu_long,COM_0259,xa,63.1108,1.33,80.96,0.37,3.7455,agricultural,1819.3,36.98,16096,255.05,10,16254,3455,253.88,0,MAR,6311
Hà Nội,dong_bang_song_hong,COM_0260,phuong,3.1706,36.12,4.89,0.229,6.0084,residential,1617.79,2.29,14932,4709.59,41,14312,3894,4169.11,1,observed,317
Gia Lai,tay_nguyen,COM_0261,xa,45.8833,1233.73,85.55,0.2597,0.1315,agricultural,2027.32,19.46,3867,84.29,29,3761,1026,78.72,1,observed,4588
Thanh Hóa,duyen_hai_mien_trung,COM_0262,xa,25.2371,34.26,65.51,0.22,2.1235,residential,2279.93,45.08,7407,293.53,16,7282,1694,311.41,1,observed,2523
Hải Phòng,dong_bang_song_hong,COM_0263,phuong,4.4099,13.91,3.25,0.45,9.2608,mixed,1559.62,1.44,5751,1304.13,16,5582,1413,1353.55,1,observed,440
Lạng Sơn,mien_nui_phia_bac,COM_0264,xa,53.0455,970.61,35.13,0.6232,1.9518,agricultural,1254.03,33.64,6497,122.49,47,5580,1018,105.06,0,MNAR_high_density,5304
Phú Thọ,mien_nui_phia_bac,COM_0265,xa,78.0046,588.88,17.28,0.3942,2.4213,residential,1629.59,13.8,56512,724.48,34,54591,14504,750.67,0,MNAR_high_density,7800
Đồng Nai,dong_nam_bo,COM_0266,xa,23.67,22.21,8.83,0.5816,3.3359,agricultural,1863.49,19.3,15921,672.63,19,15539,3247,624.82,1,observed,2367
Khánh Hòa,tay_nguyen,COM_0267,xa,23.6729,696.45,34.03,0.1762,2.11,residential,1818.47,4.02,13911,587.66,39,14330,2624,591.51,1,observed,2367
Phú Thọ,mien_nui_phia_bac,COM_0268,xa,22.444,568.53,9.43,0.571,2.3226,forest,1489.07,9.79,5282,235.35,34,5521,1407,236.35,1,observed,2244
Hà Tĩnh,duyen_hai_mien_trung,COM_0269,xa,45.8023,169.26,66.66,0.6525,2.1292,forest,2411.2,22.24,5720,124.89,39,6036,1451,120.68,1,observed,4580
Phú Thọ,mien_nui_phia_bac,COM_0270,thi_tran,16.5875,238.34,29.99,0.3422,0.6188,residential,1450.16,5.84,9817,591.84,38,9665,2514,538.73,1,observed,1658
Thanh Hóa,duyen_hai_mien_trung,COM_0271,xa,78.9587,636.6,52.86,0.2356,2.3736,forest,2432.41,41.44,12189,154.38,36,12868,2859,167.44,1,observed,7895
Hải Phòng,dong_bang_song_hong,COM_0272,xa,70.5639,13.39,95.53,0.6206,0.5078,mixed,1693.56,7.94,29267,414.77,29,26104,5956,363.6,1,observed,7056
Tây Ninh,dong_nam_bo,COM_0273,xa,35.9398,50.0,67.72,0.8093,0.5038,forest,1946.92,47.45,5399,150.25,45,5680,1228,166.77,0,MNAR_high_density,3593
Cao Bằng,mien_nui_phia_bac,COM_0274,thi_tran,23.955,1447.42,9.81,0.8673,4.4946,forest,1569.88,16.43,1430,59.72,27,1555,310,71.38,1,observed,2395
Thanh Hóa,duyen_hai_mien_trung,COM_0275,xa,71.9578,312.14,83.61,0.1452,1.2276,residential,1531.65,46.02,15527,215.79,30,15850,3317,234.66,1,observed,7195
Hà Nội,dong_bang_song_hong,COM_0276,phuong,9.2025,5.43,6.89,0.325,7.2754,mixed,1661.19,0.63,57229,6218.96,28,58170,13713,6738.04,1,observed,920
Bắc Ninh,dong_bang_song_hong,COM_0277,xa,41.081,15.74,88.9,0.3339,2.107,agricultural,1710.89,8.72,16758,407.95,43,17208,3409,409.89,0,MNAR_high_density,4108
Nghệ An,duyen_hai_mien_trung,COM_0278,thi_tran,38.5671,391.59,25.46,0.5358,3.0409,agricultural,2062.78,5.65,8305,215.36,32,8234,1694,212.87,1,observed,3856
Hà Nội,dong_bang_song_hong,COM_0279,xa,78.465,4.04,66.91,0.7971,2.5552,forest,1457.42,22.12,57890,737.79,11,65856,18391,873.85,1,observed,7846
Khánh Hòa,tay_nguyen,COM_0280,phuong,7.1781,667.95,4.34,0.3358,9.586,residential,1907.88,0.4,3769,525.17,20,3808,974,537.83,0,MNAR_high_density,717
Nghệ An,duyen_hai_mien_trung,COM_0281,xa,33.2411,105.63,54.85,0.8258,1.2796,forest,2040.13,9.29,4396,132.27,27,4683,950,141.31,0,MCAR,3324
Khánh Hòa,tay_nguyen,COM_0282,phuong,2.3629,577.77,3.59,0.2348,6.098,residential,1514.41,1.65,918,388.76,27,840,216,343.51,0,MAR,236
Cao Bằng,mien_nui_phia_bac,COM_0283,xa,30.8606,771.43,66.48,0.4357,0.7405,residential,1643.96,32.81,1863,60.39,12,1790,442,60.66,0,MNAR_high_density,3086
Thái Nguyên,mien_nui_phia_bac,COM_0284,xa,66.9853,558.92,70.66,0.2822,2.9802,agricultural,1988.38,12.16,5474,81.72,8,5826,1526,81.04,1,observed,6698
Quảng Ninh,dong_bang_song_hong,COM_0285,xa,68.233,98.42,81.57,0.1694,0.2254,mixed,2408.62,44.26,17111,250.78,38,15211,3378,210.45,1,observed,6823
Quảng Ngãi,duyen_hai_mien_trung,COM_0286,xa,47.2549,702.83,47.63,0.6348,1.5372,agricultural,3001.08,33.12,8608,182.18,35,7803,1747,170.9,1,observed,4725
Phú Thọ,mien_nui_phia_bac,COM_0287,xa,46.7021,154.12,19.89,0.1767,2.5787,agricultural,1790.1,38.89,18504,396.23,38,20195,4086,420.18,1,observed,4670
Sơn La,mien_nui_phia_bac,COM_0288,thi_tran,22.7137,1053.37,8.29,0.2979,3.1286,agricultural,2064.2,2.67,1772,78.03,6,1799,375,78.05,1,observed,2271
Quảng Ninh,dong_bang_song_hong,COM_0289,xa,76.9552,97.24,58.56,0.3059,2.4994,agricultural,2059.44,10.98,20325,264.12,25,19790,5648,280.46,0,MNAR_high_density,7695
Cần Thơ,dong_bang_song_cuu_long,COM_0290,xa,51.1925,4.69,96.19,0.8652,2.8338,forest,2256.09,45.06,18106,353.7,35,18609,4301,351.62,1,observed,5119
Cần Thơ,dong_bang_song_cuu_long,COM_0291,thi_tran,38.5747,5.49,26.66,0.7953,0.5659,forest,1958.9,7.07,18100,469.23,6,16325,3329,419.85,0,MAR,3857
Khánh Hòa,tay_nguyen,COM_0292,xa,54.7364,741.58,64.38,0.6689,3.5101,forest,1940.34,11.21,7590,138.67,36,7204,1574,120.15,0,MAR,5473
Thanh Hóa,duyen_hai_mien_trung,COM_0293,xa,49.1706,509.92,54.83,0.1348,3.4925,agricultural,1576.99,38.87,10119,205.8,21,9847,2153,182.26,1,observed,4917
Thanh Hóa,duyen_hai_mien_trung,COM_0294,xa,56.8368,709.39,10.56,0.7701,2.7276,forest,1859.99,13.56,8153,143.46,18,8620,1751,141.37,1,observed,5683
Phú Thọ,mien_nui_phia_bac,COM_0295,xa,56.6569,511.88,17.93,0.2559,1.9696,residential,1649.36,39.62,15918,280.97,7,15909,3445,263.16,0,MNAR_high_density,5665
